SENTENCE_ID	RELATION_ID	SENTENCE	ARGUMENT_1	ARGUMENT_1_CATEGORY1	RELATION	ARGUMENT_2	ARGUMENT_2_CATEGORY
2	1	Lee (Barbara Hershey) é uma velha pintora casada com Frederick (Max von Sydow), Holly (Dianne Wiest) sonha em ser uma escritora e Hannah (Mia Farrow) é uma famosa atriz, perfeita em tudo na vida.	Hannah	none	é	famosa	none
2	2	Lee (Barbara Hershey) é uma velha pintora casada com Frederick (Max von Sydow), Holly (Dianne Wiest) sonha em ser uma escritora e Hannah (Mia Farrow) é uma famosa atriz, perfeita em tudo na vida.	Barbara Hershey	none	é	uma velha pintora casada com Frederick	none
2	3	Lee (Barbara Hershey) é uma velha pintora casada com Frederick (Max von Sydow), Holly (Dianne Wiest) sonha em ser uma escritora e Hannah (Mia Farrow) é uma famosa atriz, perfeita em tudo na vida.	Mia Farrow	none	é perfeita em	a vida	none
2	4	Lee (Barbara Hershey) é uma velha pintora casada com Frederick (Max von Sydow), Holly (Dianne Wiest) sonha em ser uma escritora e Hannah (Mia Farrow) é uma famosa atriz, perfeita em tudo na vida.	Barbara Hershey	none	é	uma pintora	none
3	1	Erlynne se envolve com Robert, o que gera rumores de que ele está traindo Meg com a visitante .	ele	none	está traindo	Meg com a visitante	none
3	2	Erlynne se envolve com Robert, o que gera rumores de que ele está traindo Meg com a visitante .	Erlynne	none	se envolve com	Robert, o que gera rumores de que ele está traindo Meg com a visitante	none
3	3	Erlynne se envolve com Robert, o que gera rumores de que ele está traindo Meg com a visitante .	ele	none	está traindo com	a visitante	none
4	1	Allan Quatermain (Richard Chamberlain) é um caçador de tesouros que, após ser convencido por Jesse Huston (Sharon Stone), resolve ajudá-la a encontrar seu pai desaparecido.	Allan Quatermain	none	resolve ajudá -la a encontrar	seu pai desaparecido	none
4	2	Allan Quatermain (Richard Chamberlain) é um caçador de tesouros que, após ser convencido por Jesse Huston (Sharon Stone), resolve ajudá-la a encontrar seu pai desaparecido.	Richard Chamberlain	none	resolve ajudá -la a encontrar	seu pai desaparecido	none
4	3	Allan Quatermain (Richard Chamberlain) é um caçador de tesouros que, após ser convencido por Jesse Huston (Sharon Stone), resolve ajudá-la a encontrar seu pai desaparecido.	Allan Quatermain	none	ser convencido por	Jesse Huston	none
4	4	Allan Quatermain (Richard Chamberlain) é um caçador de tesouros que, após ser convencido por Jesse Huston (Sharon Stone), resolve ajudá-la a encontrar seu pai desaparecido.	Richard Chamberlain	none	é um caçador de	tesouros	none
4	5	Allan Quatermain (Richard Chamberlain) é um caçador de tesouros que, após ser convencido por Jesse Huston (Sharon Stone), resolve ajudá-la a encontrar seu pai desaparecido.	Allan Quatermain	none	é um caçador de	tesouros	none
5	1	Dirigido pelo cultuado David Cronenberg, o longa é uma mostra de como a relação entre Carl Jung (Michael Fassbender) e Sigmund Freud (Viggo Mortensen) faz nascer a psicanálise.	o longa	none	é uma mostra de como	a relação entre Michael Fassbender e Sigmund Freud faz nascer a psicanálise	none
5	2	Dirigido pelo cultuado David Cronenberg, o longa é uma mostra de como a relação entre Carl Jung (Michael Fassbender) e Sigmund Freud (Viggo Mortensen) faz nascer a psicanálise.	a relação entre Carl Jung Sigmund Freud	none	faz nascer	a psicanálise	none
6	1	Nascimento tem 48 mandados de prisão decretados pela Justiça e é apontado pela polícia como um dos dez mais procurados do país .	Nascimento	none	é apontado por	a polícia	none
7	1	Em 1986, foi eleito senador no Distrito Federal pelo PDT, com 197.637 votos (segundo mais votado) .	segundo mais votado	none	foi eleito senador em	o Distrito Federal	none
8	1	Escrevi meu livro contra essa idéia de que o cânone morreu, de que Shakespeare não interessa mais porque é um europeu macho, branco e morto .	Shakespeare	none	é	branco	none
8	2	Escrevi meu livro contra essa idéia de que o cânone morreu, de que Shakespeare não interessa mais porque é um europeu macho, branco e morto .	Shakespeare	none	não interessa	mais	none
8	3	Escrevi meu livro contra essa idéia de que o cânone morreu, de que Shakespeare não interessa mais porque é um europeu macho, branco e morto .	Shakespeare	none	é	um europeu morto	none
10	1	No dia 28 de abril, durante a celebração de agradecimento a Deus, no Pio Brasileiro, houve uma homenagem ao irmão jesuíta Ricardo Marchi que, há 62 anos, deixou nossa pátria para até hoje trabalhar no colégio .	o irmão jesuíta Ricardo Marchi	none	deixou	nossa pátria	none
10	2	No dia 28 de abril, durante a celebração de agradecimento a Deus, no Pio Brasileiro, houve uma homenagem ao irmão jesuíta Ricardo Marchi que, há 62 anos, deixou nossa pátria para até hoje trabalhar no colégio .	uma homenagem	none	houve a	jesuíta Ricardo Marchi	none
10	3	No dia 28 de abril, durante a celebração de agradecimento a Deus, no Pio Brasileiro, houve uma homenagem ao irmão jesuíta Ricardo Marchi que, há 62 anos, deixou nossa pátria para até hoje trabalhar no colégio .	uma homenagem	none	houve em	o Pio Brasileiro	none
10	4	No dia 28 de abril, durante a celebração de agradecimento a Deus, no Pio Brasileiro, houve uma homenagem ao irmão jesuíta Ricardo Marchi que, há 62 anos, deixou nossa pátria para até hoje trabalhar no colégio .	uma homenagem	none	houve a	o irmão jesuíta Ricardo Marchi	none
10	5	No dia 28 de abril, durante a celebração de agradecimento a Deus, no Pio Brasileiro, houve uma homenagem ao irmão jesuíta Ricardo Marchi que, há 62 anos, deixou nossa pátria para até hoje trabalhar no colégio .	durante a celebração de agradecimento a Deus	none	houve	uma homenagem a o irmão jesuíta em o dia 28 de abril	none
10	6	No dia 28 de abril, durante a celebração de agradecimento a Deus, no Pio Brasileiro, houve uma homenagem ao irmão jesuíta Ricardo Marchi que, há 62 anos, deixou nossa pátria para até hoje trabalhar no colégio .	em o dia 28	none	houve	uma homenagem a Ricardo Marchi durante a celebração de agradecimento a Deus	none
10	7	No dia 28 de abril, durante a celebração de agradecimento a Deus, no Pio Brasileiro, houve uma homenagem ao irmão jesuíta Ricardo Marchi que, há 62 anos, deixou nossa pátria para até hoje trabalhar no colégio .	uma homenagem	none	houve a	o irmão Ricardo Marchi	none
10	8	No dia 28 de abril, durante a celebração de agradecimento a Deus, no Pio Brasileiro, houve uma homenagem ao irmão jesuíta Ricardo Marchi que, há 62 anos, deixou nossa pátria para até hoje trabalhar no colégio .	durante a celebração de agradecimento a Deus	none	houve	uma homenagem a Ricardo Marchi em o dia 28 de abril	none
11	1	Considero que devemos adoptar a certificação que a senhora deputada Roth-Behrendt refere, a marca verde que alguns portos europeus têm proposto para os navios-tanques.	a senhora deputada Roth-Behrendt	none	refere	a marca verde	none
11	2	Considero que devemos adoptar a certificação que a senhora deputada Roth-Behrendt refere, a marca verde que alguns portos europeus têm proposto para os navios-tanques.	a deputada Roth-Behrendt	none	refere	a certificação	none
11	3	Considero que devemos adoptar a certificação que a senhora deputada Roth-Behrendt refere, a marca verde que alguns portos europeus têm proposto para os navios-tanques.	a senhora Roth-Behrendt	none	refere	a certificação	none
11	4	Considero que devemos adoptar a certificação que a senhora deputada Roth-Behrendt refere, a marca verde que alguns portos europeus têm proposto para os navios-tanques.	Roth-Behrendt	none	refere	a marca verde	none
12	1	Isso foi interpretado como se os europeus considerassem a posição dos árabes em relação a Israel como sendo equivalente ao anti-semitismo nazi, o que é completamente errado.	Isso	none	foi interpretado como	os europeus considerassem a posição de os árabes em relação a Israel	none
13	1	Gostaria de aproveitar esta oportunidade para convidar os meus colegas para a minha conferência sobre Inovação Verde (Greenovation), prevista para decorrer no Parlamento na próxima semana, na tarde de 28 de Maio.	a minha conferência sobre Greenovation	none	prevista em	a próxima semana em o Parlamento	none
13	2	Gostaria de aproveitar esta oportunidade para convidar os meus colegas para a minha conferência sobre Inovação Verde (Greenovation), prevista para decorrer no Parlamento na próxima semana, na tarde de 28 de Maio.	a minha conferência sobre Inovação Verde	none	prevista para decorrer em	a próxima semana	none
13	3	Gostaria de aproveitar esta oportunidade para convidar os meus colegas para a minha conferência sobre Inovação Verde (Greenovation), prevista para decorrer no Parlamento na próxima semana, na tarde de 28 de Maio.	a minha conferência sobre Greenovation	none	prevista para decorrer em	o Parlamento em a próxima semana em a tarde de 28 de Maio	none
13	4	Gostaria de aproveitar esta oportunidade para convidar os meus colegas para a minha conferência sobre Inovação Verde (Greenovation), prevista para decorrer no Parlamento na próxima semana, na tarde de 28 de Maio.	a minha conferência sobre Inovação Verde	none	prevista para decorrer em	o Parlamento em 28 de Maio	none
13	5	Gostaria de aproveitar esta oportunidade para convidar os meus colegas para a minha conferência sobre Inovação Verde (Greenovation), prevista para decorrer no Parlamento na próxima semana, na tarde de 28 de Maio.	a minha conferência sobre Greenovation	none	prevista para decorrer em	o Parlamento em a tarde de 28 de Maio	none
14	1	Há anos que o programa de luta contra a pobreza se encontra congelado porque o Governo alemão está contra uma iniciativa da UE.	o Governo alemão	none	está contra	uma iniciativa de a UE	none
15	1	A União Europeia tem, é certo, todo o interesse numa forte estabilidade nas regiões circunvizinhas, mas os instrumentos de que dispõe para a concretizar são ainda muito escassos.	A União Europeia	none	tem	todo o interesse em uma forte estabilidade	none
15	2	A União Europeia tem, é certo, todo o interesse numa forte estabilidade nas regiões circunvizinhas, mas os instrumentos de que dispõe para a concretizar são ainda muito escassos.	A União Europeia	none	dispõe	instrumentos	none
16	1	Os responsáveis por tal divisão cronológica são o italiano Giovanni Arduino, responsável pelo conceito de eras (primária, secundária, terciária, etc.), sendo que as subdivisões dos períodos são obra do geólogo escocês Charles Lyell em 1883.	as subdivisões de os períodos	none	são obra de	o geólogo escocês Charles Lyell em 1883	none
16	2	Os responsáveis por tal divisão cronológica são o italiano Giovanni Arduino, responsável pelo conceito de eras (primária, secundária, terciária, etc.), sendo que as subdivisões dos períodos são obra do geólogo escocês Charles Lyell em 1883.	Os responsáveis por tal divisão cronológica	none	são	o italiano Giovanni Arduino e o geólogo escocês Charles Lyell	none
16	3	Os responsáveis por tal divisão cronológica são o italiano Giovanni Arduino, responsável pelo conceito de eras (primária, secundária, terciária, etc.), sendo que as subdivisões dos períodos são obra do geólogo escocês Charles Lyell em 1883.	as subdivisões de os períodos	none	são obra de	o geólogo escocês Charles Lyell	none
16	4	Os responsáveis por tal divisão cronológica são o italiano Giovanni Arduino, responsável pelo conceito de eras (primária, secundária, terciária, etc.), sendo que as subdivisões dos períodos são obra do geólogo escocês Charles Lyell em 1883.	as subdivisões de os períodos	none	são obra de	Charles Lyell em 1883	none
16	5	Os responsáveis por tal divisão cronológica são o italiano Giovanni Arduino, responsável pelo conceito de eras (primária, secundária, terciária, etc.), sendo que as subdivisões dos períodos são obra do geólogo escocês Charles Lyell em 1883.	as subdivisões de os períodos	none	são	obra de o geólogo escocês Charles Lyell	none
17	1	O time de Sevilla aproveitou a sua única grande oportunidade e foi fatal.	O time de Sevilla	none	aproveitou	a sua única oportunidade	none
17	2	O time de Sevilla aproveitou a sua única grande oportunidade e foi fatal.	O time de Sevilla	none	aproveitou	a sua grande oportunidade e foi fatal	none
17	3	O time de Sevilla aproveitou a sua única grande oportunidade e foi fatal.	O time de Sevilla	none	foi	fatal	none
19	1	Os anticorpos Anti-Rh são responsáveis por uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido, que decorre da incompatibilidade sangüínea entre a mãe e o feto (ela Rh- e ele Rh+), resultando na destruição das hemácias do feto pelos anticorpos Anti-Rh produzidos pela mãe.	Anti-Rh	none	são responsáveis por	uma doença conhecida como eritroblastose fetal	none
19	2	Os anticorpos Anti-Rh são responsáveis por uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido, que decorre da incompatibilidade sangüínea entre a mãe e o feto (ela Rh- e ele Rh+), resultando na destruição das hemácias do feto pelos anticorpos Anti-Rh produzidos pela mãe.	Anti-Rh	none	são responsáveis por	uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido	none
19	3	Os anticorpos Anti-Rh são responsáveis por uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido, que decorre da incompatibilidade sangüínea entre a mãe e o feto (ela Rh- e ele Rh+), resultando na destruição das hemácias do feto pelos anticorpos Anti-Rh produzidos pela mãe.	Os anticorpos Anti-Rh	none	são responsáveis por	uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido	none
19	4	Os anticorpos Anti-Rh são responsáveis por uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido, que decorre da incompatibilidade sangüínea entre a mãe e o feto (ela Rh- e ele Rh+), resultando na destruição das hemácias do feto pelos anticorpos Anti-Rh produzidos pela mãe.	eritroblastose fetal	none	resultando em	a destruição de as hemácias de o feto pelos anticorpos Anti-Rh produzidos por a mãe	none
19	5	Os anticorpos Anti-Rh são responsáveis por uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido, que decorre da incompatibilidade sangüínea entre a mãe e o feto (ela Rh- e ele Rh+), resultando na destruição das hemácias do feto pelos anticorpos Anti-Rh produzidos pela mãe.	eritroblastose fetal ou doença hemolítica do recém-nascido	none	resultando em	a destruição de as hemácias de o feto pelos anticorpos Anti-Rh	none
19	6	Os anticorpos Anti-Rh são responsáveis por uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido, que decorre da incompatibilidade sangüínea entre a mãe e o feto (ela Rh- e ele Rh+), resultando na destruição das hemácias do feto pelos anticorpos Anti-Rh produzidos pela mãe.	eritroblastose fetal	none	resultando em	a destruição de as hemácias de o feto pelos anticorpos Anti-Rh	none
19	7	Os anticorpos Anti-Rh são responsáveis por uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido, que decorre da incompatibilidade sangüínea entre a mãe e o feto (ela Rh- e ele Rh+), resultando na destruição das hemácias do feto pelos anticorpos Anti-Rh produzidos pela mãe.	Anti-Rh	none	decorre de	a incompatibilidade sangüínea entre a mãe e o feto	none
19	8	Os anticorpos Anti-Rh são responsáveis por uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido, que decorre da incompatibilidade sangüínea entre a mãe e o feto (ela Rh- e ele Rh+), resultando na destruição das hemácias do feto pelos anticorpos Anti-Rh produzidos pela mãe.	Anti-Rh	none	são responsáveis por	uma doença conhecida como doença hemolítica do recém-nascido	none
19	9	Os anticorpos Anti-Rh são responsáveis por uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido, que decorre da incompatibilidade sangüínea entre a mãe e o feto (ela Rh- e ele Rh+), resultando na destruição das hemácias do feto pelos anticorpos Anti-Rh produzidos pela mãe.	Anti-Rh	none	são responsáveis por	doença hemolítica de o recém - nascido	none
19	10	Os anticorpos Anti-Rh são responsáveis por uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido, que decorre da incompatibilidade sangüínea entre a mãe e o feto (ela Rh- e ele Rh+), resultando na destruição das hemácias do feto pelos anticorpos Anti-Rh produzidos pela mãe.	doença hemolítica do recém-nascido	none	resultando em	a destruição de as hemácias de o feto pelos anticorpos Anti-Rh	none
19	11	Os anticorpos Anti-Rh são responsáveis por uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido, que decorre da incompatibilidade sangüínea entre a mãe e o feto (ela Rh- e ele Rh+), resultando na destruição das hemácias do feto pelos anticorpos Anti-Rh produzidos pela mãe.	Os anticorpos Anti-Rh	none	são responsáveis por	eritroblastose fetal	none
19	12	Os anticorpos Anti-Rh são responsáveis por uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido, que decorre da incompatibilidade sangüínea entre a mãe e o feto (ela Rh- e ele Rh+), resultando na destruição das hemácias do feto pelos anticorpos Anti-Rh produzidos pela mãe.	doença hemolítica do recém-nascido	none	resultando em	a destruição de as hemácias de o feto pelos anticorpos Anti-Rh produzidos por a mãe	none
19	13	Os anticorpos Anti-Rh são responsáveis por uma doença conhecida como eritroblastose fetal ou doença hemolítica do recém-nascido, que decorre da incompatibilidade sangüínea entre a mãe e o feto (ela Rh- e ele Rh+), resultando na destruição das hemácias do feto pelos anticorpos Anti-Rh produzidos pela mãe.	Os anticorpos Anti-Rh	none	decorre de	a incompatibilidade sangüínea entre a mãe e o feto	none
20	1	Ela estrela dois vídeos do iFood, sempre parodiando a letra de sua música.	Ela	none	estrela	dois vídeos de o iFood sempre parodiando a letra de sua música	none
20	2	Ela estrela dois vídeos do iFood, sempre parodiando a letra de sua música.	Ela	none	estrela	dois vídeos de o iFood sempre parodiando a letra	none
20	3	Ela estrela dois vídeos do iFood, sempre parodiando a letra de sua música.	Ela	none	estrela	dois vídeos sempre parodiando a letra de sua música	none
20	4	Ela estrela dois vídeos do iFood, sempre parodiando a letra de sua música.	Ela	none	estrela	dois vídeos de o iFood sempre parodiano a letra de sua música	none
21	1	O show ainda conta com as participações especiais dos cantores Zeca Pagodinho (apenas no DVD) e Dominguinhos.	O show	none	ainda conta com	Dominguinhos	none
21	2	O show ainda conta com as participações especiais dos cantores Zeca Pagodinho (apenas no DVD) e Dominguinhos.	O show	none	conta com	as participações especiais de Zeca Pagodinho e Dominguinhos	none
21	3	O show ainda conta com as participações especiais dos cantores Zeca Pagodinho (apenas no DVD) e Dominguinhos.	O show	none	conta com	Zeca Pagodinho (apenas no DVD)	none
22	1	Esse asteróide foi descoberto em 24 de Maio de 1931 por Cyril Jackson.	Esse asteróide	none	foi descoberto por	Cyril Jackson	none
22	2	Esse asteróide foi descoberto em 24 de Maio de 1931 por Cyril Jackson.	Esse asteróide	none	foi descoberto em	1931	none
22	3	Esse asteróide foi descoberto em 24 de Maio de 1931 por Cyril Jackson.	Esse asteróide	none	foi descoberto em	Maio de 1931	none
23	1	A Bélgica participou no Festival Eurovisão da Canção em 1983.	A Bélgica	none	participou em 1983 em	o Festival Eurovisão de a Canção	none
23	2	A Bélgica participou no Festival Eurovisão da Canção em 1983.	A Bélgica	none	participou em	o Festival Eurovisão de a Canção em 1983	none
23	3	A Bélgica participou no Festival Eurovisão da Canção em 1983.	A Bélgica	none	participou em	o Festival Eurovisão	none
24	1	O Association Sportive d'Origine Arménienne de Valence foi um clube de futebol francês.	O Association Sportive d'Origine Arménienne de Valence	none	foi	um clube de futebol	none
25	1	Em tempos pré-históricos as cavernas protegiam os nossos antepassados das intempérides e dos animais selvagens.	as cavernas	none	protegiam	os nossos antepassados de os animais selvagens Em tempos pré históricos	none
25	2	Em tempos pré-históricos as cavernas protegiam os nossos antepassados das intempérides e dos animais selvagens.	as cavernas	none	protegiam	os nossos antepassados de as intempérides e de os animais selvagens Em tempos pré históricos	none
