SENTENCE_ID	RELATION_ID	SENTENCE	ARGUMENT_1	ARGUMENT_1_CATEGORY	RELATION	ARGUMENT_2	ARGUMENT_2_CATEGORY
32	2	Para Ida_Sano_Martins, que estuda a fisiologia de venenos em o Instituto_Butantan, em São_Paulo, a estratégia poderia vencer algumas limitações de os soros antiofídicos atuais.	Ida_Sano_Martins	PER	estuda a fisiologia de venenos em	Instituto_Butantan	ORG
33	1	A informação foi dada em a conferência 'de a Origem de o Universo a os Grandes_Telescópios', ministrada ontem por João_Steiner, astrofísico de a USP, durante a 52ª Reunião_Anual de a Sociedade_Brasileira para o Progresso_da_Ciência.	João_Steiner	PER	astrofísico de	USP	ORG
34	1	A reunião começou anteontem em o campus de a UnB (Universidade_de_Brasília).	UnB	ORG	(	Universidade_de_Brasília	ORG
35	1	Segundo Cassius_Vinicius_Stevani, químico de a USP que coordena os estudos, é possível que o material recolhido abranja por o menos_dez espécies novas.	Cassius_Vinicius_Stevani	PER	químico de	USP	ORG
36	1	A identificação e descrição está sendo feita com a ajuda de Marina_Capelari, de o Instituto_de_Botânica de São_Paulo, e Dennis_Desjardin, de a Universidade_Estadual_de_San_Francisco (Estados_Unidos).	Marina_Capelari	PER	de	Instituto_de_Botânica de São_Paulo	ORG
36	4	A identificação e descrição está sendo feita com a ajuda de Marina_Capelari, de o Instituto_de_Botânica de São_Paulo, e Dennis_Desjardin, de a Universidade_Estadual_de_San_Francisco (Estados_Unidos).	Dennis_Desjardin	PER	de	Universidade_Estadual_de_San_Francisco	ORG
36	7	A identificação e descrição está sendo feita com a ajuda de Marina_Capelari, de o Instituto_de_Botânica de São_Paulo, e Dennis_Desjardin, de a Universidade_Estadual_de_San_Francisco (Estados_Unidos).	Universidade_Estadual_de_San_Francisco	ORG	(	Estados_Unidos	PLC
41	1	A sorte de os cientistas liderados por Jillian_Banfield, de a Universidade_da_Califórnia em Berkeley, foi que a amostra de efluentes ácidos analisada tinha um pequeno número de organismos.	Jillian_Banfield	PER	de	Universidade_da_Califórnia	ORG
41	2	A sorte de os cientistas liderados por Jillian_Banfield, de a Universidade_da_Califórnia em Berkeley, foi que a amostra de efluentes ácidos analisada tinha um pequeno número de organismos.	Universidade_da_Califórnia	ORG	em	Berkeley	PLC
43	1	O estudo em a britânica 'Nature' é de autoria de Neil_M._Ferguson, de o Imperial_College, de Londres, e mais sete colaboradores;	Neil_M._Ferguson	PER	de	Imperial_College	ORG
43	2	O estudo em a britânica 'Nature' é de autoria de Neil_M._Ferguson, de o Imperial_College, de Londres, e mais sete colaboradores;	Imperial_College	ORG	de	Londres	PLC
44	1	o de a americana 'Science' foi feito por Ira_M._Longini_Jr., de a Universidade_Emory, em Atlanta (EUA), e mais sete colegas.	Ira_M._Longini_Jr.	PER	de	Universidade_Emory	ORG
44	2	o de a americana 'Science' foi feito por Ira_M._Longini_Jr., de a Universidade_Emory, em Atlanta (EUA), e mais sete colegas.	Universidade_Emory	ORG	em	Atlanta	PLC
44	3	o de a americana 'Science' foi feito por Ira_M._Longini_Jr., de a Universidade_Emory, em Atlanta (EUA), e mais sete colegas.	Universidade_Emory	ORG	em	EUA	PLC
45	1	A realização é fruto de uma parceria entre a companhia de biotecnologia Advanced_Cell_Technology, de Massachusetts, o Centro_Sioux, de Iowa, e o Centro_para_Reprodução_de_Espécies_Ameaçadas_da_Sociedade_Zoológica_de_San_Diego, em a Califórnia.	Advanced_Cell_Technology	ORG	de	Massachusetts	PLC
45	5	A realização é fruto de uma parceria entre a companhia de biotecnologia Advanced_Cell_Technology, de Massachusetts, o Centro_Sioux, de Iowa, e o Centro_para_Reprodução_de_Espécies_Ameaçadas_da_Sociedade_Zoológica_de_San_Diego, em a Califórnia.	Centro_Sioux	ORG	de	Iowa	PLC
45	10	A realização é fruto de uma parceria entre a companhia de biotecnologia Advanced_Cell_Technology, de Massachusetts, o Centro_Sioux, de Iowa, e o Centro_para_Reprodução_de_Espécies_Ameaçadas_da_Sociedade_Zoológica_de_San_Diego, em a Califórnia.	Centro_para_Reprodução_de_Espécies_Ameaçadas_da_Sociedade_Zoológica_de_San_Diego	ORG	em	Califórnia	PLC
50	1	Experimentos coordenados por Carl_Cotman, de a Universidade_da_Califórnia em Irvine, mostraram resultados animadores em cães em a fase de envelhecimento (a_partir_de os 9 anos de vida), em na_qual os animais podem desenvolver uma doença que lembra Alzheimer.	Carl_Cotman	PER	de	Universidade_da_Califórnia	ORG
50	2	Experimentos coordenados por Carl_Cotman, de a Universidade_da_Califórnia em Irvine, mostraram resultados animadores em cães em a fase de envelhecimento (a_partir_de os 9 anos de vida), em na_qual os animais podem desenvolver uma doença que lembra Alzheimer.	Universidade_da_Califórnia	ORG	em	Irvine	PLC
51	1	Essa conclusão veio de um estudo feito por Domingos_Matos, 36, médico de a Universidade_Federal_do_Pará.	Domingos_Matos	PER	médico de	Universidade_Federal_do_Pará	ORG
52	1	Orientado por Ricardo_Diaz, de a Universidade_Federal_de_São_Paulo, Matos fez de essa pesquisa seu estudo de doutorado.	Ricardo_Diaz	PER	de	Universidade_Federal_de_São_Paulo	ORG
54	1	A principal autora de o estudo é Karen_Allen, de a Universidade_Estadual_de_Nova_York em Buffalo, que há anos estuda a influência de os animais em a saúde humana.	Karen_Allen	PER	de	Universidade_Estadual_de_Nova_York	ORG
54	2	A principal autora de o estudo é Karen_Allen, de a Universidade_Estadual_de_Nova_York em Buffalo, que há anos estuda a influência de os animais em a saúde humana.	Universidade_Estadual_de_Nova_York	ORG	em	Buffalo	PLC
55	1	O biólogo William_Eberhard, de a Universidade_da_Costa_Rica, descobriu que as larvas de esse inseto, a o parasitar a aranha Plesiometa argyra, provocam mudanças em o comportamento de a hospedeira.	William_Eberhard	PER	de	Universidade_da_Costa_Rica	ORG
57	3	Temendo que a Nasa tenha de aposentar seus ônibus espaciais antes mesmo de 2010, a ESA (Agência_Espacial_Européia) já está estudando o que fazer caso seu módulo não possa ir a o espaço.	ESA	ORG	(	Agência_Espacial_Européia	ORG
59	1	A Fapesp (Fundação_de_Amparo_à_Pesquisa_do_Estado_de_São_Paulo), que pretendia comprar Maldis para executar seu projeto proteoma, teve de desistir de a idéia após a desvalorização de o real, em o começo de o semestre.	Fapesp	ORG	(	Fundação_de_Amparo_à_Pesquisa_do_Estado_de_São_Paulo	ORG
60	1	O Maldi feito por o grupo de o LIP (Laboratório_de_Instrumentação_e_Partículas), de o Instituto_de_Física, também financiado por a Fapesp, saiu bem mais em_conta:	LIP	ORG	de	Instituto_de_Física	ORG
60	2	O Maldi feito por o grupo de o LIP (Laboratório_de_Instrumentação_e_Partículas), de o Instituto_de_Física, também financiado por a Fapesp, saiu bem mais em_conta:	Laboratório_de_Instrumentação_e_Partículas	ORG	de	Instituto_de_Física	ORG
60	3	O Maldi feito por o grupo de o LIP (Laboratório_de_Instrumentação_e_Partículas), de o Instituto_de_Física, também financiado por a Fapesp, saiu bem mais em_conta:	LIP	ORG	(	Laboratório_de_Instrumentação_e_Partículas	ORG
61	1	A nossa idéia é desenvolver a tecnologia e treinar pessoal', diz a física nuclear Suzana_Salem_Vasconcelos, de o LIP.	Suzana_Salem_Vasconcelos	PER	de	LIP	ORG
65	1	Pesquisadores de a Uenf (Universidade_Estadual_do_Norte_Fluminense) também estão usando o gene de a HBsAg para conseguir uma alface que funcione como vacina comestível contra a hepatite B. 'Já temos brotos de alface comprovadamente transgênicos', disse Jackson_Marcondes_de_Souza.	Uenf	ORG	(	Universidade_Estadual_do_Norte_Fluminense	ORG
67	1	Seus termos são endossados por a OMS (Organização_Mundial_da_Saúde).	OMS	ORG	(	Organização_Mundial_da_Saúde	ORG
73	1	A estimativa foi apresentada por John_Schellnhuber, de o Centro_Tyndall em Norwich, em uma conferência sobre os efeitos de a mudança climática durante a reunião de a AAAS.	John_Schellnhuber	PER	de	Centro_Tyndall	ORG
73	2	A estimativa foi apresentada por John_Schellnhuber, de o Centro_Tyndall em Norwich, em uma conferência sobre os efeitos de a mudança climática durante a reunião de a AAAS.	Centro_Tyndall	ORG	em	Norwich	PLC
74	1	Bioantropólogo de a Universidade_MacMaster, em o Canadá, está prestes a investigar a relação entre neandertais e humanos modernos olhando não para seus crânios, mas para o que eles defecavam, e para as moléculas que podem contar a história de eles, ocultas ali dentro.	Universidade_MacMaster	ORG	em	Canadá	ORG
75	2	Estamos recolhendo amostras de coprólitos [fezes fossilizadas] de duas cavernas em Israel com 40 mil anos, onde provavelmente Cro-Magnons [os primeiros humanos modernos] e neandertais viveram lado a lado', contou o pesquisador durante a reunião de a AAAS (Associação_Americana para o Avanço_da_Ciência).	AAAS	ORG	(	Associação_Americana para o Avanço_da_Ciência	ORG
76	3	O Ibama (Instituto_Brasileiro_do_Meio_Ambiente_e_dos_Recursos_Naturais_Renováveis) aplicou, desde maio passado, multas de cerca de R$ 50 milhões a por o menos 200 fazendeiros cujas terras estão a as margens de o Taquari.	Ibama	ORG	(	Instituto_Brasileiro_do_Meio_Ambiente_e_dos_Recursos_Naturais_Renováveis	ORG
78	1	A Sema (Secretaria_do_Meio_Ambiente_de_Mato_Grosso_do_Sul) informou que defende a dragagem e estuda a contratação de uma empresa para o serviço.	Sema	ORG	(	Secretaria_do_Meio_Ambiente_de_Mato_Grosso_do_Sul	ORG
79	1	Clayton_Campanhola, diretor-presidente de a Embrapa, afirma que o método ajudará em a multiplicação de animais de elevado valor genético ou em a reprodução de os ameaçados de extinção.	Clayton_Campanhola	PER	diretor-presidente de	Embrapa	ORG
89	1	É aí que a seleção geralmente vai ser mais forte, explicou Laden a a Folha.	Laden	PER	a	Folha	ORG
91	1	Hoje, a coleção de o Frozen_Zoo, que é coordenado por o geneticista Oliver_Ryder, é a maior de o mundo.	Frozen_Zoo	ORG	coordenado por	Oliver_Ryder	PER
92	1	Em o início de o mês, o CCNE (Comitê_Consultivo_Nacional_de_Ética), órgão que orienta o governo francês sobre aspectos éticos de a biotecnologia, reforçou a posição de a ministra, alegando que 'o conhecimento de a sequência de um gene não pode ser assimilado como produto patenteado e, portanto, não é patenteável'.	CCNE	ORG	(	Comitê_Consultivo_Nacional_de_Ética	ORG
103	1	A nossa Escola_de_Pilotagem ajudou a formar dezenas_de pilotos particulares e profissionais, sendo actualmente dirigida por o Cmdt.João_Filhó, um profissional de a aviação que trabalha em a Portugália, e que é um entre as dezenas_de profissionais que iniciaram ou reforçaram a sua actividade de pilotos em o ACTV.	Escola_de_Pilotagem	ORG	dirigida por	Cmdt.João_Filhó	PER
103	2	A nossa Escola_de_Pilotagem ajudou a formar dezenas_de pilotos particulares e profissionais, sendo actualmente dirigida por o Cmdt.João_Filhó, um profissional de a aviação que trabalha em a Portugália, e que é um entre as dezenas_de profissionais que iniciaram ou reforçaram a sua actividade de pilotos em o ACTV.	Cmdt.João_Filhó	PER	trabalha em	Portugália	ORG
106	1	Para analistas como Kris_Voorspools, de a Fortis, em Bruxelas, o 'preço de o petróleo pode continuar a subir', por se estar perante o 'simples fundamento de a oferta e de a procura'.	Kris_Voorspools	PER	de	Fortis	ORG
106	2	Para analistas como Kris_Voorspools, de a Fortis, em Bruxelas, o 'preço de o petróleo pode continuar a subir', por se estar perante o 'simples fundamento de a oferta e de a procura'.	Fortis	ORG	em	Bruxelas	PLC
107	1	Mas há quem defenda, embora em minoria, que os preços elevados podem levar a uma recessão global, uma opinião expressa por Nauman_Barakat, vice-presidente de a Macquarie_Futures de os EUA.	Nauman_Barakat	PER	vice-presidente de	Macquarie_Futures	ORG
107	2	Mas há quem defenda, embora em minoria, que os preços elevados podem levar a uma recessão global, uma opinião expressa por Nauman_Barakat, vice-presidente de a Macquarie_Futures de os Eua.	Macquarie_Futures	ORG	de	Eua	PLC
19	1	A opinião é de o agrônomo Miguel_Guerra, de a UFSC (Universidade_Federal_de_Santa_Catarina).	Miguel_Guerra	PER	de	UFSC	ORG
19	2	A opinião é de o agrônomo Miguel_Guerra, de a UFSC (Universidade_Federal_de_Santa_Catarina).	UFSC	ORG	(	Universidade_Federal_de_Santa_Catarina	ORG
19	3	A opinião é de o agrônomo Miguel_Guerra, de a UFSC (Universidade_Federal_de_Santa_Catarina).	Miguel_Guerra	PER	de	Universidade_Federal_de_Santa_Catarina	ORG
130	1	A crise já tinha sido solucionada, após uma reunião em a casa de o procurador geral Aristides_Junqueira, que juntou as principais lideranças de o Congresso, membros de o Supremo_Tribunal_Federal e FHC.	Aristides_Junqueira	PER	juntou as lideranças de	Congresso	ORG
130	2	A crise já tinha sido solucionada, após uma reunião em a casa de o procurador geral Aristides_Junqueira, que juntou as principais lideranças de o Congresso, membros de o Supremo_Tribunal_Federal e FHC.	Aristides_Junqueira	PER	juntou as lideranças de	Supremo_Tribunal_Federal	ORG
132	1	Deixou-se enredar com o PS em Lisboa, o pior sítio para alguém se enredar com o PS.	PS	ORG	em	Lisboa	PLC
136	1	Este mesmo Governo preparou as eleições para uma Assembleia_Nacional_Popular que em 5 de Julho de 1975 proclamou a independência.	Governo	ORG	preparou as eleições para	Assembleia_Nacional_Popular	ORG
152	1	O Governo russo acredita em o Pai_Natal e quer que as criancinhas também acreditem.	Governo	ORG	acredita em	Pai_Natal	PER
153	1	Tendo em atenção o que se tem passado em os últimos anos em a carreira de o ex-treinador de o FC_Porto, que nunca termina os contratos e acaba sempre despedido com uma choruda indenização, bem se pode dizer que a Federação_Iraniana_de_Futebol acredita em o Pai_Natal.	Federação_Iraniana_de_Futebol	ORG	acredita em	Pai_Natal	PER
154	2	Por outro lado, a escolha de o presidente de a Caixa_Geral_de_Depósitos para presidir a o BCP só pode igualmente ser obra de o Pai_Natal.	Caixa_Geral_de_Depósitos	ORG	presidir a	BCP	ORG
155	1	Não lhe passa por a cabeça que Santos_Ferreira, com o que sabe de a Caixa, fique em excelente posição para ganhar quota de mercado a o banco público, que vai este ano dar mais_de 800s de lucros, de os_quais 400s vão direitinhos para os cofres de o Estado a_título_de IRC.	Santos_Ferreira	PER	sabe de	Caixa	ORG
156	1	Se Santos_Ferreira tiver sucesso em o BCP, quem vai sofrer é a Caixa - e, por_tabela, todos nós, contribuintes.	Santos_Ferreira	PER	tiver sucesso em	BCP	ORG
167	1	Mais de um ano atrás, New_Scientist revelou que responsáveis superiores de a JNLWP pretendiam reescrever os tratados de armas químicas e biológicas a fim de terem mais liberdade para desenvolverem armas não letais (16 Dezembro 2000, pg. 4).	New_Scientist	ORG	revelou que responsáveis superiores de	JNLWP	ORG
182	1	O Sr._José_Lins - o que houve de distorção em o comentário foi, exatamente, a notícia de que o Governo teria incumbido o Sni de interferir em a gestão de as estaduais.	Governo	ORG	incumbido	Sni	ORG
186	1	Também o Presidente em_exercício de o Conselho_da_UE, José SÓCRATES, destacou o dia de hoje como 'uma data fundamental em a história de a integração europeia'.	Presidente	PER	de	Conselho_da_UE	ORG
192	1	De a mesma forma, para Brian_CROWLEY, de a UEN, o ocorrido 'superou o permissível'.	Brian_CROWLEY	PER	de	UEN	ORG
201	1	A Legião_da_Boa_Vontade ocupa, hoje, o 4º lugar entre as organizações inscritas em a Organização_Mundial_das_Nações_Unidas.	Legião_da_Boa_Vontade	ORG	ocupa o 4º lugar entre as organizações inscritas em	Organização_Mundial_das_Nações_Unidas	ORG
206	1	Benazir_Bhutto contava com a simpatia de os Eua por_conta.	Benazir_Bhutto	PER	contava com a simpatia de	Eua	ORG
207	1	A inspiração veio de as ruas: há três semanas, um outdoor de o McDonald's em a Avenida_Jorge_Amado havia recebido uma interferência gráfica.	McDonald's	ORG	em	Avenida_Jorge_Amado	PLC
209	1	Finalmente, o PSD divulga que uma fábrica local, a Ferro-Têxtil, está a poluir o 'ribeiro de os peixes', colocando em causa o seu aproveitamento para as regas de os terrenos agrícolas que circundam aquela área.	PSD	ORG	divulga	Ferro-Têxtil	ORG
213	1	Em o Onze de Setembro, ficou em silêncio por mais de mês enquanto a comunidade internacional cobrava provas de seu envolvimento antes de autorizar um ataque de os Eua a o Afeganistão.	Eua	ORG	a	Afeganistão	ORG
215	1	É aí que novos padrões vêm a a tona: correlações entre espécies diferentes, características de a paisagem e outros fatores que não poderiam ser descobertos de outra maneira, afirma Jason_Knight, instrutor de a Wilderness_Awareness_School em Duvall, Washington.	Jason_Knight	PER	instrutor de	Wilderness_Awareness_School	ORG
215	2	É aí que novos padrões vêm a a tona: correlações entre espécies diferentes, características de a paisagem e outros fatores que não poderiam ser descobertos de outra maneira, afirma Jason_Knight, instrutor de a Wilderness_Awareness_School em Duvall, Washington.	Wilderness_Awareness_School	ORG	em	Duvall	PLC
221	1	O CEC foi reconhecido há dois anos como Câmara_do_Comércio_e_Industria.	CEC	ORG	reconhecido há dois anos como	Câmara_do_Comércio_e_Industria	ORG
223	1	As Câmaras deverão assumir responsabilidades que resultem de uma contratualização com o Estado porque há serviços que o Estado presta mal e que as Câmaras poderão prestar, permitindo a o tecido empresarial ser cada vez mais competitivo.	Câmaras	ORG	assumir responsabilidades que resultem de uma contratualização com	Estado	ORG
231	1	O diretor Aloysio_Legey deixou o comando de o Megatom para cuidar de os especiais de fim de ano de a Globo.	Aloysio_Legey	PER	deixou o comando de o Megatom para cuidar de os especiais de fim de ano de	Globo	ORG
232	1	Mario_Lúcio_Vaz, diretor de a Central_Globo_de_Controle_de_Qualidade assumiu a supervisão de o humorístico.	Mario_Lúcio_Vaz	PER	diretor de	Central_Globo_de_Controle_de_Qualidade	ORG
258	1	A Legião_da_Boa_Vontade comemora amanhã o 10º. aniversário de a sua implantação em Portugal com cerimónias de carácter religioso e de convívio - disse ontem fonte de a organização.	Legião_da_Boa_Vontade	ORG	implantação em	Portugal	PLC
273	1	Almeida_Henriques (A.H.): O CEC foi criado em uma lógica de unir as associações de a Região_Centro, quer sejam industriais, quer sejam comerciais, quer sejam agrícolas.	CEC	ORG	unir as associações de	Região_Centro	PLC
279	1	O Goa_Tourism_Development_Corporation_Office organiza excursões a Goa.	Goa_Tourism_Development_Corporation_Office	ORG	organiza excursões a	Goa	PLC
290	1	O fogo, que deflagrou cerca_de as 06h50 em uma casa térrea, causou ferimentos em uma idosa de 82 anos, o caso mais grave, e em o seu enteado, um homem de 32 anos, ambos transportados para o Hospital_de_São_João, em o Porto.	Hospital_de_São_João	ORG	em	Porto	PLC
297	1	Desde aí que se conhecem as razões de substância para este já longo silêncio: o PSD aproximou-se politicamente de o PS como nunca esteve antes, a o ponto de se oferecer para co-governar em praticamente todas_as áreas.	PSD	ORG	aproximou politicamente de	PS	ORG
315	1	Notícias EVM e gestão de riscos em análise; WeDo adere a a APOGEP; IPMA alarga presença internacional.	WeDo	ORG	adere a	APOGEP	ORG
317	1	O Santander_Gestão_de_Activos aponta para que as novas listagens em o próximo ano em a Euronext_Lisboa aconteçam quer através de privatizações, dando como exemplos os casos de a ANA e de a TAP, quer através de sociedades de capital privado como o grupo Visabeira.	Santander_Gestão_de_Activos	ORG	aponta para que as novas listagens em	Euronext_Lisboa	ORG
324	1	A Resistência_Islâmica, ala armada de o Hizbollah, apoiada por o Irão e por a Síria, reivindicou o ataque em um comunicado em que disse que visara 'uma coluna de líderes israelitas'.	Resistência_Islâmica	ORG	ala armada de	Hizbollah	ORG
324	2	A Resistência_Islâmica, ala armada de o Hizbollah, apoiada por o Irão e por a Síria, reivindicou o ataque em um comunicado em que disse que visara 'uma coluna de líderes israelitas'.	Resistência_Islâmica	ORG	apoiada por	Irão	ORG
324	3	A Resistência_Islâmica, ala armada de o Hizbollah, apoiada por o Irão e por a Síria, reivindicou o ataque em um comunicado em que disse que visara 'uma coluna de líderes israelitas'.	Resistência_Islâmica	ORG	apoiada por	Síria	ORG
327	1	Agora, por_exemplo, me é bastante grato assinalar que, em o meu modo de ver, esse desempenho de a Petrobrás deve muito a o desempenho de o Ministro_César_Cals.	Petrobrás	ORG	deve a	Ministro_César_Cals	PER
328	1	A RCM gostaria de ouvir o Concelho_de_Mafra sobre um assunto de vital importância para toda_a comunidade internacional; consulte a página de Opinião e diga-nos o que pensa sobre este conflito.	RCM	ORG	gostaria de ouvir	Concelho_de_Mafra	PER
231	1	O diretor Aloysio_Legey deixou o comando de o Megatom para cuidar de os especiais de fim de ano de a Globo.	Aloysio_Legey	PER	deixou o comando de o Megatom para cuidar de os especiais de fim de ano de	Globo	ORG
236	1	As forças de a Escola_Prática_de_Cavalaria eram comandadas por o então comandante Salgueiro_Maia.	Escola_Prática_de_Cavalaria	ORG	comandadas por	Salgueiro_Maia	PER
237	1	Hugo_Doménech, professor de a Universidade_Jaume_de_Castellón e de o jornalista Raul_Riebenbaueur reuniram um especialista forense, um militar geodésico e um astrofísico e recolheram depoimentos locais.	Hugo_Doménech	PER	professor de	Universidade_Jaume_de_Castellón	ORG
238	1	Luiz_Carvalho, fotojornalista de o Expresso.	Luiz_Carvalho	PER	fotojornalista de	Expresso	ORG
330	1	A Nossa Galáxia; O NUCLIO vai por isso assinar sábado um protocolo com a Câmara_Municipal de Cascais para que o Centro_de_Interpretação_Ambiental seja disponibilizado para as suas actividades junto de a comunidade escolar.	Câmara_Municipal	ORG	de	Cascais	PLC
330	2	A Nossa Galáxia; O NUCLIO vai por isso assinar sábado um protocolo com a Câmara_Municipal de Cascais para que o Centro_de_Interpretação_Ambiental seja disponibilizado para as suas actividades junto de a comunidade escolar.	NUCLIO	ORG	assinar sábado um protocolo com	Câmara_Municipal	ORG
331	1	Se em o ano passado o festival tinha um estande acanhado, em um de os cantos de o Centro_de_Eventos de a Fiergs, em Porto_Alegre, agora as coisas foram bem diferentes.	Centro_de_Eventos	PLC	de	Fiergs	ORG
331	2	Se em o ano passado o festival tinha um estande acanhado, em um de os cantos de o Centro_de_Eventos de a Fiergs, em Porto_Alegre, agora as coisas foram bem diferentes.	Fiergs	ORG	em	Porto_Alegre	PLC
339	1	A descoberta, segundo pesquisadores de a Universidade_de_Wisconsin-Madison (Eua), poderá levar a a compreensão de como as epidemias de a doença surgem e qual a melhor forma de combater-las.	Universidade_de_Wisconsin-Madison	ORG	(	Eua	PLC
340	1	E o ICANN assincou já o acordo em esse sentido com a mTLD_Top_Level_Domain, que congrega a GSM_Association, a Microsoft, fabricantes como a Nokia, a Samsung e a Ericsson e operadores como a Vodafone, a Telefónica_Móviles, a Hutchison_3 e a T-Mobile.	ICANN	ORG	assincou já o acordo em esse sentido com	mTLD_Top_Level_Domain	ORG
341	1	E o ICANN assincou já o acordo em esse sentido com a mTLD_Top_Level_Domain que congrega a GSM_Association, a Microsoft, fabricantes como a Nokia, a Samsung e a Ericsson e operadores como a Vodafone, a Telefónica_Móviles, a Hutchison_3 e a T-Mobile.	mTLD_Top_Level_Domain	ORG	congrega	GSM_Association	ORG
341	2	E o ICANN assincou já o acordo em esse sentido com a mTLD_Top_Level_Domain que congrega a GSM_Association, a Microsoft, fabricantes como a Nokia, a Samsung e a Ericsson e operadores como a Vodafone, a Telefónica_Móviles, a Hutchison_3 e a T-Mobile.	mTLD_Top_Level_Domain	ORG	congrega	Microsoft	ORG
341	3	E o ICANN assincou já o acordo em esse sentido com a mTLD_Top_Level_Domain que congrega a GSM_Association, a Microsoft, fabricantes como a Nokia, a Samsung e a Ericsson e operadores como a Vodafone, a Telefónica_Móviles, a Hutchison_3 e a T-Mobile.	mTLD_Top_Level_Domain	ORG	congrega	Nokia	ORG
341	4	E o ICANN assincou já o acordo em esse sentido com a mTLD_Top_Level_Domain que congrega a GSM_Association, a Microsoft, fabricantes como a Nokia, a Samsung e a Ericsson e operadores como a Vodafone, a Telefónica_Móviles, a Hutchison_3 e a T-Mobile.	mTLD_Top_Level_Domain	ORG	congrega	Samsung	ORG
341	5	E o ICANN assincou já o acordo em esse sentido com a mTLD_Top_Level_Domain que congrega a GSM_Association, a Microsoft, fabricantes como a Nokia, a Samsung e a Ericsson e operadores como a Vodafone, a Telefónica_Móviles, a Hutchison_3 e a T-Mobile.	mTLD_Top_Level_Domain	ORG	congrega	Ericsson	ORG
341	6	E o ICANN assincou já o acordo em esse sentido com a mTLD_Top_Level_Domain que congrega a GSM_Association, a Microsoft, fabricantes como a Nokia, a Samsung e a Ericsson e operadores como a Vodafone, a Telefónica_Móviles, a Hutchison_3 e a T-Mobile.	mTLD_Top_Level_Domain	ORG	congrega	Vodafone	ORG
341	7	E o ICANN assincou já o acordo em esse sentido com a mTLD_Top_Level_Domain que congrega a GSM_Association, a Microsoft, fabricantes como a Nokia, a Samsung e a Ericsson e operadores como a Vodafone, a Telefónica_Móviles, a Hutchison_3 e a T-Mobile.	mTLD_Top_Level_Domain	ORG	congrega	Telefónica_Móviles	ORG
